file,bytes,words,sha256_16,title,series_bucket,task_domain,disposition,proposed_destination,risk,notes
andrew-fiction-workflow-and-library-preferences.md,2428,346,9eaeeb432435e7b4,"Andrew fiction workflow corrections — Anunnaki, Stories for the Road, Elias Silver Library",elias-library,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/elias-silver-library/docs/skill-reference-migration/,normal,
anunnaki-audio-drama-pipeline.md,7571,1153,3b9194ab488b927b,Anunnaki Chronicles Audio Drama Production Pipeline,anunnaki,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book2-full-draft-workflow.md,2912,446,be31bcaa8e1ab0e4,Anunnaki Book 2 Full-Draft Workflow Reference,anunnaki,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book2-sequential-drafting.md,3628,551,e0eaba9c1c74b468,Anunnaki Book 2 Sequential Drafting Example,anunnaki,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book3-autonomous-cron-guardrails.md,3227,462,36350fbac07cef30,Anunnaki Book 3 Autonomous Cron Guardrails,anunnaki,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book3-canon-reset-to-drafting.md,3257,469,90d9ed7ab3adde4a,Book 3 Canon Reset to Drafting Pipeline,anunnaki,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book3-cron-stale-prompt-dashboard-sync.md,2093,270,3fd198b9cdbfba4b,"Anunnaki Book 3 cron: stale prompt, tracker-ahead, dashboard sync",anunnaki,reader-package-and-feedback-workflow,copy-to-series-or-adjacent-domain-reference-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book3-cron-tracker-far-ahead-multi-chapter.md,2727,378,238afc854d60aebe,Anunnaki Book 3 cron: tracker far ahead of stale prompt + multi-chapter continuation,anunnaki,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book3-pass1-structural-target-review.md,2988,443,48cb9d5decfeaffa,Anunnaki Book 3 Pass 1 Structural Target Review Pattern,anunnaki,fiction-editorial-audits-and-revision-planning,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book4-act1-early-act2a-audit.md,4357,593,c1c0ba43ee8d5554,Anunnaki Book 4 Act I / early Act II-A audit pause pattern,anunnaki,fiction-editorial-audits-and-revision-planning,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book4-bounded-segment-ch9-10.md,3782,502,53330f3e5065fc5b,Anunnaki Book 4 bounded segment — Chapters 9–10 pattern,anunnaki,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book4-controlled-ch11-prose-after-special-brief.md,3525,500,ae110b40d57922b6,Anunnaki Book 4 — Controlled Chapter 11 Prose After Special Brief,anunnaki,fiction-architecture-briefing-and-research-gates,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book4-controlled-ch12-parley-after-brief.md,4764,657,ce146f4273f91aa1,Anunnaki Book 4 — Controlled Chapter 12 Parley After Approved Brief,anunnaki,fiction-architecture-briefing-and-research-gates,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book4-controlled-ch13-brief-after-parley.md,5554,778,a48bbc9fadbd498f,Anunnaki Book 4 — Controlled Chapter 13 Brief After Parley,anunnaki,fiction-architecture-briefing-and-research-gates,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-book4-first-draft-structural-readiness-audit.md,4482,633,f0bf442ed9180df5,Anunnaki Book 4 First-Draft Structural Readiness Audit Pattern,anunnaki,controlled-fiction-drafting-and-autonomous-runs,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-reader-feedback-lessons.md,5350,770,cc708d6576898d34,Anunnaki Reader Feedback Lessons — Mythic Sci-Fi Evaluation,anunnaki,reader-package-and-feedback-workflow,copy-to-series-or-adjacent-domain-reference-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
anunnaki-series-spine-and-production-strategy.md,4320,624,e52a7c86515b4948,Anunnaki Chronicles — Series Spine and Production Strategy,anunnaki,fiction-architecture-briefing-and-research-gates,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
arden-knowledge-base-fiction-workflow.md,3724,490,ec93e64375e44df9,Arden Knowledge Base — Fiction Workflow Integration,cross-series/general,manual-review,manual-review-before-disposition,staged draft skills / novel-production-system references,normal,
arden-stewardship-and-scout-lead-boundaries.md,2997,419,48015a75a0f68010,Arden/ChatGPT Stewardship + Scout Working Lead Boundaries,cross-series/general,manual-review,manual-review-before-disposition,staged draft skills / novel-production-system references,normal,
author-imprint-and-profile-governance.md,4390,554,561412edd4e6163c,Author / Imprint / Profile Governance Pattern,cross-series/general,fiction-project-governance-and-handoffs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
auto-generated-reader-dashboard.md,4875,693,f7f0163ff5d7fd5a,Auto-Generated Reader Dashboard for Fiction Projects,cross-series/general,reader-package-and-feedback-workflow,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
automatic-model-switching-policy.md,3088,443,0756888c2630a316,Automatic Model Switching Policy for Fiction Projects,cross-series/general,manual-review,manual-review-before-live-skill-install,staged draft skills / novel-production-system references,manual-review/high-impact,runtime/profile/config-sensitive — keep out of drafting skill; review manually before reuse
autonomous-book-completion-run.md,3409,521,b5c2f22dbcf42c2f,Autonomous Book Completion Run,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
autonomous-completion-lean-skeleton-guard.md,2853,422,5adb0c9a9a7054ff,Autonomous Completion Lean-Skeleton Guard,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
autonomous-completion-workflow-diagnosis-pattern.md,5584,801,77894429a6e18b7d,Autonomous Completion Workflow Diagnosis Pattern,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
autonomous-creative-worker-monitor-cron.md,1894,289,077043f4b682cff7,Autonomous creative worker plus monitor cron pattern,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
autonomous-pipeline-audit-and-maintenance.md,6728,941,44cfa56fb57a0477,Autonomous Pipeline Audit and Maintenance Workflow,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
autonomous-series-continuation-pipeline-pattern.md,6594,962,f88026b7d9bf5f81,Autonomous Series Continuation Pipeline Pattern,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
baseline-checkpoint-before-reader-audit.md,3319,466,32aedcef29183487,Baseline Checkpoint Before Reader/Editorial Audit,cross-series/general,fiction-editorial-audits-and-revision-planning,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
better-version-book2-diagnostic-case-study.md,9994,1523,251d1df8f10fbcf8,Better Version Book 2 Diagnostic Case Study,better-version,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/the-better-version/docs/skill-reference-migration/,normal,
better-version-governance-precision-pass-corrections.md,6497,925,e1921ad590c55a55,Better Version Governance Precision Pass — What Changed,better-version,manual-review,copy-to-canonical-series-repo-before-global-slim,/home/andrew/the-better-version/docs/skill-reference-migration/,normal,
blind-model-evaluation-layer-repair.md,4835,682,a6696211ef9304d2,Blind Model Evaluation Layer Repair,cross-series/general,controlled-model-evaluation-for-creative-work,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
book-directory-editorial-history-pattern.md,2839,396,69bdcd87b5ef7231,Book Directory Editorial History Pattern,cross-series/general,fiction-editorial-audits-and-revision-planning,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
book3-cron-stale-prompt-multi-chapter-dashboard-sync.md,2379,353,dd9014f78d94ea15,"Book 3 Cron: Stale Prompt, Tracker Ahead, Multi-Chapter Dashboard Sync",cross-series/general,reader-package-and-feedback-workflow,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
book3-first-draft-completion-cron.md,4274,429,2a8e093a4d9c87f0,Book 3 first-draft completion from scheduled drafting cron,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
book3-pass15-anu-nibiru-pressure-insert.md,3504,468,b8547e349f0331f9,Book 3 Pass 1.5 — Anu/Nibiru Political Pressure Insert Pattern,anunnaki,controlled-fiction-revision-and-expansion,copy-to-canonical-series-repo-before-global-slim,/home/andrew/projects/active/anunnaki-chronicles-novel/docs/skill-reference-migration/,normal,
book3-pass15-autonomous-expansion-insert.md,2953,416,64036929fd0227e2,Book 3 Pass 1.5 Autonomous Expansion Insert Pattern,cross-series/general,controlled-fiction-drafting-and-autonomous-runs,generalize-into-draft-task-skill-or-linked-reference,staged draft skills / novel-production-system references,normal,
