file,bytes,words,task_bucket,series_bucket
"andrew-fiction-workflow-and-library-preferences.md",2428,346,"cross-series-core/misc","Elias Library/Reading Room"
"anunnaki-audio-drama-pipeline.md",7571,1153,"pipeline-architecture-soul","Anunnaki"
"anunnaki-book2-full-draft-workflow.md",2912,446,"drafting-briefs","Anunnaki"
"anunnaki-book2-sequential-drafting.md",3628,551,"drafting-briefs","Anunnaki"
"anunnaki-book3-autonomous-cron-guardrails.md",3227,462,"autonomous-workers-models","Anunnaki"
"anunnaki-book3-canon-reset-to-drafting.md",3257,469,"drafting-briefs","Anunnaki"
"anunnaki-book3-cron-stale-prompt-dashboard-sync.md",2093,270,"reader-site-web-packaging","Anunnaki"
"anunnaki-book3-cron-tracker-far-ahead-multi-chapter.md",2727,378,"autonomous-workers-models","Anunnaki"
"anunnaki-book3-pass1-structural-target-review.md",2988,443,"revision-expansion-polish","Anunnaki"
"anunnaki-book4-act1-early-act2a-audit.md",4357,593,"reader-editorial-audit","Anunnaki"
"anunnaki-book4-bounded-segment-ch9-10.md",3782,502,"cross-series-core/misc","Anunnaki"
"anunnaki-book4-controlled-ch11-prose-after-special-brief.md",3525,500,"drafting-briefs","Anunnaki"
"anunnaki-book4-controlled-ch12-parley-after-brief.md",4764,657,"drafting-briefs","Anunnaki"
"anunnaki-book4-controlled-ch13-brief-after-parley.md",5554,778,"drafting-briefs","Anunnaki"
"anunnaki-book4-first-draft-structural-readiness-audit.md",4482,633,"drafting-briefs","Anunnaki"
"anunnaki-reader-feedback-lessons.md",5350,770,"reader-editorial-audit","Anunnaki"
"anunnaki-series-spine-and-production-strategy.md",4320,624,"pipeline-architecture-soul","Anunnaki"
"arden-knowledge-base-fiction-workflow.md",3724,490,"cross-series-core/misc","cross-series/general"
"arden-stewardship-and-scout-lead-boundaries.md",2997,419,"cross-series-core/misc","cross-series/general"
"author-imprint-and-profile-governance.md",4390,554,"autonomous-workers-models","cross-series/general"
"auto-generated-reader-dashboard.md",4875,693,"reader-site-web-packaging","cross-series/general"
"automatic-model-switching-policy.md",3088,443,"autonomous-workers-models","cross-series/general"
"autonomous-book-completion-run.md",3409,521,"autonomous-workers-models","cross-series/general"
"autonomous-completion-lean-skeleton-guard.md",2853,422,"autonomous-workers-models","cross-series/general"
"autonomous-completion-workflow-diagnosis-pattern.md",5584,801,"autonomous-workers-models","cross-series/general"
"autonomous-creative-worker-monitor-cron.md",1894,289,"autonomous-workers-models","cross-series/general"
"autonomous-pipeline-audit-and-maintenance.md",6728,941,"autonomous-workers-models","cross-series/general"
"autonomous-series-continuation-pipeline-pattern.md",6594,962,"autonomous-workers-models","cross-series/general"
"baseline-checkpoint-before-reader-audit.md",3319,466,"reader-editorial-audit","cross-series/general"
"better-version-book2-diagnostic-case-study.md",9994,1523,"case-study-lessons","The Better Version"
"better-version-governance-precision-pass-corrections.md",6497,925,"case-study-lessons","The Better Version"
"blind-model-evaluation-layer-repair.md",4835,682,"autonomous-workers-models","cross-series/general"
"book-directory-editorial-history-pattern.md",2839,396,"reader-editorial-audit","cross-series/general"
"book3-cron-stale-prompt-multi-chapter-dashboard-sync.md",2379,353,"reader-site-web-packaging","cross-series/general"
"book3-first-draft-completion-cron.md",4274,429,"autonomous-workers-models","cross-series/general"
"book3-pass15-anu-nibiru-pressure-insert.md",3504,468,"revision-expansion-polish","Anunnaki"
"book3-pass15-autonomous-expansion-insert.md",2953,416,"autonomous-workers-models","cross-series/general"
"book3-pass15-bounded-cron-expansion-sync.md",3591,436,"autonomous-workers-models","cross-series/general"
"book3-pass15-final-emotional-breath-insert.md",2108,311,"revision-expansion-polish","cross-series/general"
"book3-pass15-settlement-implementation-insert.md",3766,544,"revision-expansion-polish","cross-series/general"
"book3-pass16-external-editorial-validation.md",2707,385,"revision-expansion-polish","cross-series/general"
"brambleford-book2-grounded-editorial-pass.md",3472,454,"reader-editorial-audit","Brambleford/Briarcombe/Cozy"
"brambleford-book4-skeleton-to-pass2-expansion.md",3703,548,"revision-expansion-polish","Brambleford/Briarcombe/Cozy"
"brambleford-briarcombe-name-confusion-lesson.md",5278,767,"case-study-lessons","Brambleford/Briarcombe/Cozy"
"brambleford-session-lessons.md",4570,668,"case-study-lessons","Brambleford/Briarcombe/Cozy"
"branch-manuscript-assembly-pattern.md",4680,649,"repo-governance-handoff-memory","cross-series/general"
"briarcombe-gamma-multi-agent-collapse-audit.md",4526,726,"reader-editorial-audit","Brambleford/Briarcombe/Cozy"
"chapter-brief-after-architecture-approval.md",3336,496,"drafting-briefs","cross-series/general"
"chapter-expansion-by-incremental-insertion.md",2428,362,"drafting-briefs","cross-series/general"
"chapter-renumbering-after-insertion.md",3682,573,"drafting-briefs","cross-series/general"
"christie-novel-word-count-reference.md",1885,345,"cross-series-core/misc","Brambleford/Briarcombe/Cozy"
"codebase-memory-mcp-fiction-continuity.md",3064,414,"repo-governance-handoff-memory","cross-series/general"
"codebase-memory-mcp-for-fiction-projects.md",2190,265,"repo-governance-handoff-memory","cross-series/general"
"commercial-viability-cozy-mystery-checklist.md",7049,1058,"cross-series-core/misc","Brambleford/Briarcombe/Cozy"
"competitive-multi-novelist-pattern.md",1539,202,"cross-series-core/misc","cross-series/general"
"context-threshold-fiction-handoff.md",1850,274,"repo-governance-handoff-memory","cross-series/general"
"continuity-preservation-audit-before-next-gate.md",6580,860,"repo-governance-handoff-memory","cross-series/general"
"controlled-blind-evaluation-sequence.md",4916,687,"autonomous-workers-models","cross-series/general"
"controlled-chapter-drafting-after-approved-brief.md",4553,638,"drafting-briefs","cross-series/general"
"controlled-experiment-candidate-canonical-promotion.md",3511,488,"cross-series-core/misc","cross-series/general"
"controlled-final-assembly-renumbering-pass.md",4628,680,"cross-series-core/misc","cross-series/general"
"controlled-multi-model-chapter1-experiment.md",5503,738,"autonomous-workers-models","cross-series/general"
"controlled-pass1-revision-from-review-package.md",3606,523,"revision-expansion-polish","cross-series/general"
"controlled-pass2-expansion-and-checkpoint.md",2698,400,"revision-expansion-polish","cross-series/general"
"cosmic-horror-antagonist-voice.md",2826,419,"cross-series-core/misc","Last Clean-Up Crew/Horror"
"cron-tracker-ahead-sequential-drafting.md",1448,222,"autonomous-workers-models","cross-series/general"
"cross-session-github-handoff-repo.md",3177,434,"repo-governance-handoff-memory","cross-series/general"
"curator-of-series-memory-pattern.md",5038,668,"repo-governance-handoff-memory","cross-series/general"
"current-dashboard-pattern.md",3021,386,"reader-site-web-packaging","cross-series/general"
"deploy-scout-versions-reader-site.md",4469,601,"reader-site-web-packaging","cross-series/general"
"dialogue-desert-detection-and-dramatization-audit.md",9744,1427,"revision-expansion-polish","cross-series/general"
"direct-writer-editor-repo-handoff.md",2848,407,"repo-governance-handoff-memory","cross-series/general"
"dramatization-pass-confrontation-over-monologue.md",4813,695,"revision-expansion-polish","cross-series/general"
"durable-cron-continuation-after-initial-chapters.md",3994,576,"autonomous-workers-models","cross-series/general"
"editor-pass-separation-pattern.md",3183,483,"cross-series-core/misc","cross-series/general"
"editorial-feedback-lifecycle-status-update.md",2825,409,"reader-editorial-audit","cross-series/general"
"editorial-persona-simulation.md",4931,713,"reader-editorial-audit","cross-series/general"
"editorial-reader-model-testing.md",3269,445,"autonomous-workers-models","cross-series/general"
"elias-burning-bird-book2-accountable-custody-cron.md",4067,554,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-archive-witness-intake-cron.md",2862,387,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-bird-refusal-cron.md",3730,537,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-continuation-cron.md",5355,721,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-controlled-burn-cron.md",3595,502,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-distributed-witness-coalition-cron.md",3617,532,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-evidence-network-cron.md",2718,352,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-ferry-condition-cron.md",3469,463,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-first-chapter-cron.md",4332,594,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-harbour-order-cron.md",3187,430,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-helpful-fire-cron.md",3215,416,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-name-aftermath-cron.md",3334,450,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-rook-as-evidence-cron.md",2772,382,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-signature-trap-cron.md",4320,619,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-voss-introduction-cron.md",2832,403,"autonomous-workers-models","Meridian/Elias Relics"
"elias-burning-bird-book2-what-rescue-costs-cron.md",4129,585,"autonomous-workers-models","Meridian/Elias Relics"
"elias-library-access-and-feedback-correction.md",1353,196,"reader-site-web-packaging","Elias Library/Reading Room"
"elias-library-act1-escalation-and-meta-slip-guardrails.md",3827,567,"cross-series-core/misc","Elias Library/Reading Room"
"elias-library-blue-door-controlled-reveal.md",3606,507,"cross-series-core/misc","Meridian/Elias Relics"
"elias-library-commercial-genre-strategy.md",6224,857,"research-ingest-market","Elias Library/Reading Room"
"elias-library-first-draft-commercial-expansion-review.md",4076,601,"drafting-briefs","Elias Library/Reading Room"
"elias-library-first-draft-completion-ending-check.md",2959,403,"drafting-briefs","Elias Library/Reading Room"
"elias-library-genre-and-setting-rules.md",1974,287,"research-ingest-market","Elias Library/Reading Room"
"elias-library-mid-act-drafting-and-evidence-escalation.md",4922,720,"drafting-briefs","Elias Library/Reading Room"
"elias-library-mid-draft-evidence-escalation.md",3625,499,"drafting-briefs","Elias Library/Reading Room"
"elias-library-pilot-opening-chapters-pattern.md",3009,448,"drafting-briefs","Elias Library/Reading Room"
"elias-library-pilot-pipeline-and-flexible-architecture.md",4631,687,"drafting-briefs","Elias Library/Reading Room"
"elias-library-pilot-pipeline-and-flexible-structure.md",4133,626,"drafting-briefs","Elias Library/Reading Room"
"elias-library-production-studio-setup.md",6721,809,"pipeline-architecture-soul","Elias Library/Reading Room"
"elias-library-public-setpiece-and-sound-crisis.md",4826,701,"cross-series-core/misc","Elias Library/Reading Room"
"elias-library-sunken-bell-act1-drafting-lessons.md",4613,689,"drafting-briefs","Meridian/Elias Relics"
"elias-library-sunken-bell-first-draft-pass1-expansion.md",3726,506,"drafting-briefs","Meridian/Elias Relics"
"elias-library-sunken-bell-pass1-expansion.md",4305,593,"revision-expansion-polish","Meridian/Elias Relics"
"elias-library-sunken-bell-pilot-drafting.md",7849,1112,"drafting-briefs","Meridian/Elias Relics"
"elias-public-listing-to-book2-architecture.md",2502,354,"pipeline-architecture-soul","cross-series/general"
"elias-silver-library-genre-shelves-and-access.md",2187,325,"reader-site-web-packaging","Elias Library/Reading Room"
"elias-silver-library-pilot-chapter-workflow.md",3697,523,"drafting-briefs","Elias Library/Reading Room"
"elias-stories-for-the-road-startup-cron.md",3562,442,"autonomous-workers-models","Stories/Shorts"
"elias-sunken-bell-pass1-completion-audit-handoff.md",2955,408,"repo-governance-handoff-memory","Meridian/Elias Relics"
"elias-sunken-bell-pass1-ending-block-expansion.md",3710,506,"revision-expansion-polish","Meridian/Elias Relics"
"elias-sunken-bell-pass1-expansion-pattern.md",4126,559,"revision-expansion-polish","Meridian/Elias Relics"
"elias-sunken-bell-pass1-sequential-expansion-run.md",3210,468,"drafting-briefs","Meridian/Elias Relics"
"ending-expansion-and-model-traceability.md",3209,474,"autonomous-workers-models","cross-series/general"
"evidence-based-batch-rewrite-session-record.md",5430,765,"research-ingest-market","cross-series/general"
"expanded-draft-structural-reader-readiness-audit.md",4531,624,"drafting-briefs","cross-series/general"
"expansion-session-planning.md",3892,587,"revision-expansion-polish","cross-series/general"
"expansion-via-crisis-insertion.md",3993,595,"revision-expansion-polish","cross-series/general"
"external-editorial-feedback-and-reading-room-ops.md",3254,477,"reader-editorial-audit","Elias Library/Reading Room"
"external-editorial-model-boundaries.md",2370,341,"autonomous-workers-models","cross-series/general"
"external-editorial-packet-workflow.md",4269,601,"reader-editorial-audit","cross-series/general"
"external-editorial-review-consolidation.md",3754,516,"reader-editorial-audit","cross-series/general"
"external-editorial-review-packets.md",2851,427,"reader-editorial-audit","cross-series/general"
"fallback-drift-prevention-pass1-expansion.md",3811,540,"autonomous-workers-models","cross-series/general"
"fallback-model-canon-reset.md",3113,439,"autonomous-workers-models","cross-series/general"
"fallback-model-incident-chapter-19-20-case-study.md",3906,516,"autonomous-workers-models","cross-series/general"
"fallback-model-work-classification.md",4199,590,"autonomous-workers-models","cross-series/general"
"family-reader-chapter-title-proposal-pass.md",1937,280,"drafting-briefs","cross-series/general"
"fiction-author-monetization-research.md",3735,566,"research-ingest-market","cross-series/general"
"fiction-project-clean-pause-and-polish-readiness.md",5560,716,"revision-expansion-polish","cross-series/general"
"fiction-project-progress-dashboard.md",2689,314,"reader-site-web-packaging","cross-series/general"
"fiction-session-side-task-resume-state.md",2232,344,"case-study-lessons","cross-series/general"
"final-micro-polish-after-reader-scan.md",3812,561,"revision-expansion-polish","cross-series/general"
"final-proofread-export-and-review-gates.md",3071,423,"revision-expansion-polish","cross-series/general"
"final-proofread-export-prep-pattern.md",2562,373,"revision-expansion-polish","cross-series/general"
"final-proofread-export-prep.md",3659,546,"revision-expansion-polish","cross-series/general"
"first-draft-map-tracker-before-autonomous-pilot.md",3604,522,"autonomous-workers-models","cross-series/general"
"first-draft-review-to-pass1-start.md",2862,406,"drafting-briefs","cross-series/general"
"flexible-expansion-after-lean-scaffold.md",3232,458,"revision-expansion-polish","cross-series/general"
"formal-reader-editorial-audit-after-expanded-baseline.md",4888,651,"reader-editorial-audit","cross-series/general"
"fresh-session-pass-expansion-handoff-cycle.md",2670,420,"repo-governance-handoff-memory","cross-series/general"
"full-draft-review-pass-workflow.md",3037,378,"drafting-briefs","cross-series/general"
"generating-chapter-titles-from-source.md",6372,978,"research-ingest-market","cross-series/general"
"git-audit-before-creative-work.md",2704,381,"repo-governance-handoff-memory","cross-series/general"
"gpt-55-only-canon-reset.md",3181,473,"autonomous-workers-models","cross-series/general"
"hermes-v017-reach-features-for-novel-agents.md",3351,450,"cross-series-core/misc","cross-series/general"
"horror-comedy-drafting-guide.md",5416,755,"drafting-briefs","Last Clean-Up Crew/Horror"
"horror-comedy-rhythm-guide.md",3732,584,"cross-series-core/misc","Last Clean-Up Crew/Horror"
"horror-comedy-style-guide.md",5049,761,"cross-series-core/misc","Last Clean-Up Crew/Horror"
"internal-release-readiness-and-reading-room-roadmap.md",3497,472,"reader-editorial-audit","Elias Library/Reading Room"
"internal-release-sequence-and-short-story-pitfall.md",2317,352,"case-study-lessons","Stories/Shorts"
"interrupted-controlled-late-act-expansion-resumption.md",4725,663,"revision-expansion-polish","cross-series/general"
"length-tightening-commercial-pitfall.md",2888,438,"case-study-lessons","cross-series/general"
"light-continuity-scan-after-reader-pass.md",2499,374,"repo-governance-handoff-memory","cross-series/general"
"line-edit-stage-pass4-scope-and-technique.md",6312,952,"revision-expansion-polish","cross-series/general"
"longform-skill-bloat-audit-and-slimming.md",2863,411,"reader-editorial-audit","cross-series/general"
"manuscript-quality-gate-checklist.md",2713,464,"reader-editorial-audit","cross-series/general"
"manuscript-to-web-reader-pipeline.md",3113,457,"reader-site-web-packaging","cross-series/general"
"mcp-first-after-session-recall.md",1436,183,"repo-governance-handoff-memory","cross-series/general"
"meridian-book3-chapter11-discrepancy-as-evidence.md",2569,363,"drafting-briefs","Meridian/Elias Relics"
"meridian-book3-chapter6-continuation-lessons.md",2518,357,"drafting-briefs","Meridian/Elias Relics"
"meridian-book3-pass2-model-lane-audit.md",3064,435,"autonomous-workers-models","Meridian/Elias Relics"
"middle-act-compression-reality-check.md",3661,520,"cross-series-core/misc","cross-series/general"
"milestone-drafting-workflow.md",2227,352,"drafting-briefs","cross-series/general"
"model-agnostic-repo-with-caretaker.md",5458,768,"autonomous-workers-models","cross-series/general"
"model-assignments.md",1797,258,"autonomous-workers-models","cross-series/general"
"model-separation-editorial-pipeline.md",10581,1508,"autonomous-workers-models","cross-series/general"
"multi-model-fiction-pipeline.md",2255,333,"autonomous-workers-models","cross-series/general"
"multi-model-orchestration-pattern.md",2522,352,"autonomous-workers-models","cross-series/general"
"necessity-review-and-controlled-split-assessment.md",3484,504,"reader-editorial-audit","cross-series/general"
"nemotron-3-ultra-fiction-subagent-benchmark.md",3161,467,"autonomous-workers-models","cross-series/general"
"next-novel-creative-pipeline-setup.md",2911,423,"pipeline-architecture-soul","cross-series/general"
"no-chapter-headers-in-scene-transitions.md",3286,463,"drafting-briefs","cross-series/general"
"non-destructive-branch-manuscript-audit.md",2952,404,"repo-governance-handoff-memory","cross-series/general"
"novel-production-pipeline-patterns.md",13716,1931,"pipeline-architecture-soul","cross-series/general"
"ollama-cloud-fiction-model-lanes.md",3228,437,"autonomous-workers-models","cross-series/general"
"orchestration-lessons-local-novel-writing.md",2550,399,"case-study-lessons","cross-series/general"
"parallel-version-producer-pattern.md",11889,1507,"cross-series-core/misc","cross-series/general"
"pass-1-6-selective-expansion-cadence-polish.md",3464,515,"revision-expansion-polish","cross-series/general"
"pass-1-6-surgical-validation-after-editorial-review.md",2847,416,"revision-expansion-polish","cross-series/general"
"pass-1-expansion-from-thin-draft.md",6676,963,"drafting-briefs","cross-series/general"
"pass-1-prose-tic-scan-technique.md",2170,276,"revision-expansion-polish","cross-series/general"
"pass1-completion-audit-copyedit-metadata-pattern.md",4777,631,"revision-expansion-polish","cross-series/general"
"pass15-validation-stop-expansion-cron.md",2903,420,"autonomous-workers-models","cross-series/general"
"pass2-cadence-consistency-and-mechanical-audit.md",3836,537,"revision-expansion-polish","cross-series/general"
"pass2-chapter-expansion-validation-notes.md",2158,321,"drafting-briefs","cross-series/general"
"pass2-checkpoint-and-cadence-scan-pattern.md",2668,401,"revision-expansion-polish","cross-series/general"
"pass2-structural-fix-workflow.md",5058,737,"revision-expansion-polish","cross-series/general"
"post-blind-identity-reveal-and-synthesis.md",2966,433,"autonomous-workers-models","cross-series/general"
"post-blind-model-experiment-synthesis-and-revision-gate.md",3812,539,"autonomous-workers-models","cross-series/general"
"post-draft-editorial-audit-workflow.md",7559,1208,"drafting-briefs","cross-series/general"
"predator-remote-fiction-workflow.md",5805,796,"cross-series-core/misc","cross-series/general"
"procedural-antagonist-chapter-drafting.md",3139,460,"drafting-briefs","cross-series/general"
"profile-provider-definition-fix-pattern.md",1526,187,"autonomous-workers-models","cross-series/general"
"profile-suite-to-executable-production-pipeline.md",4534,639,"autonomous-workers-models","cross-series/general"
"project-phase-closure-before-switching.md",2740,397,"cross-series-core/misc","cross-series/general"
"publishing-infrastructure-audit-pattern.md",3690,532,"reader-editorial-audit","cross-series/general"
"python-incremental-chapter-expansion-technique.md",4899,721,"drafting-briefs","cross-series/general"
"quality-reading-pass-four-questions.md",4952,779,"reader-editorial-audit","cross-series/general"
"read-only-external-review-response.md",2649,396,"reader-editorial-audit","cross-series/general"
"reader-feedback-form-templates.md",12075,1575,"reader-site-web-packaging","cross-series/general"
"reader-profile-supporter-pass-and-editor-interpretation.md",4452,601,"autonomous-workers-models","cross-series/general"
"reader-site-feedback-deployment-pitfalls.md",13946,1895,"reader-site-web-packaging","cross-series/general"
"reader-site-feedback-form-generation.md",4595,663,"reader-site-web-packaging","cross-series/general"
"reader-site-title-regression-guards.md",2144,282,"reader-site-web-packaging","cross-series/general"
"reading-room-pen-name-and-access-control.md",3635,545,"reader-site-web-packaging","Elias Library/Reading Room"
"remote-multi-profile-targeted-polish.md",3757,560,"autonomous-workers-models","cross-series/general"
